"Facility Name","Facility Name#",Facility,FacilityType,Owner,Developer,EnergyPurchaser,Place,GeneratingCapacity,NumberOfUnits,CommercialOnlineDate,WindTurbineManufacturer,FacilityStatus,Coordinates
"Bluewater Wind Rhode Island","Bluewater Wind Rhode Island","Bluewater Wind Rhode Island","Definition:Offshore Wind","NRG Bluewater Wind","NRG Bluewater Wind",,"Atlantic Ocean RI","450 MW",,,,Proposed,"41.357°, -71.152°"
"Bobcat Bluff","Bobcat Bluff","Bobcat Bluff","Definition:Commercial Scale Wind","EDF Renewable Energy","Element Power","Merchant (ERCOT)","Windthorst TX","150 MW",100,2012,"GE Energy","In Service","33.503556°, -98.578718°"
"Bolton Valley Resort","Bolton Valley Resort","Bolton Valley Resort","Definition:Small Scale Wind",,,,"Bolton Valley VT","0.1 MW",1,2009,"Northern Power Systems","In Service","44.4144038°, -72.83469647°"
"Boondocks Truck Stop Wind Farm","Boondocks Truck Stop Wind Farm","Boondocks Truck Stop","Definition:Small Scale Wind","Boondocks Truck Stop",,"Boondocks Truck Stop",IA,"0.07 MW",1,2006,,"In Service","42.4703°, -93.5624°"
Boyce,Boyce,Boyce,"Definition:Small Scale Wind",Boyce,,Boyce,"Alliance OH","0.1 MW",1,2010,"Northern Power Systems","In Service","40.8671157°, -81.0497214°"
"Bravo Wind","Bravo Wind","Bravo Wind","Definition:Commercial Scale Wind",,"Bravo Wind LLC",,"Cassia County ID","29.9 MW",,,,Proposed,"42.460351°, -113.474564°"
"Brazoria Offshore","Brazoria Offshore","Brazoria Offshore","Definition:Offshore Wind","Coastal Point Energy LLC","Coastal Point Energy LLC",,"Gulf of Mexico TX","500 MW",,,,Proposed,"28.764°, -95.33°"
"Brazos Wind Ranch Wind Farm","Brazos Wind Ranch Wind Farm","Brazos Wind Ranch","Definition:Commercial Scale Wind","Shell Wind Energy/Mitsui","Cielo Wind Power/Orion Energy","Green Mountain Power/ TXU","Near Fluvanna TX","160 MW",160,2003,Mitsubishi,"In Service","32.94914°, -101.144357°"
"Breezy Bucks I","Breezy Bucks I","Breezy Bucks I","Definition:Commercial Scale Wind","Dave Norgaard / John Deere Wind Energy","Dave Norgaard / John Deere Wind Energy","Xcel Energy","Lake Benton MN","1.25 MW",1.25,2006,"Suzlon Energy Company","In Service","44.3197°, -96.3317°"
"Breezy Bucks II","Breezy Bucks II","Breezy Bucks II","Definition:Commercial Scale Wind","Breezy Bucks II LLC / John Deere Wind Energy","Breezy Bucks II LLC / John Deere Wind Energy","Xcel Energy","Lake Benton MN","1.25 MW",1.25,2006,"Suzlon Energy Company","In Service","44.3144°, -96.3317°"
"Brigantine OffshoreMW Phase 1","Brigantine OffshoreMW Phase 1","Brigantine OffshoreMW Phase 1","Definition:Offshore Wind",OffshoreMW,"Offshore MW",,"Atlantic Ocean NJ","350 MW",,,,Proposed,"39.584°, -73.77°"
"Brigantine OffshoreMW Phase 2","Brigantine OffshoreMW Phase 2","Brigantine OffshoreMW Phase 2","Definition:Offshore Wind",OffshoreMW,OffshoreMW,,"Atlantic Ocean NJ","350 MW",,,,Proposed,"39.348°, -73.969°"
"Broken Bow Wind Farm","Broken Bow Wind Farm","Broken Bow Wind Farm","Definition:Commercial Scale Wind","Midwest Wind Energy","Midwest Wind Energy","Nebraska Public Power District","Custer County, Nebraska","80 MW",50,2012,"GE Energy","In Service","41.400029°, -99.573412°"
"Brookfield Tehachapi 1 (CCDLP)","Brookfield Tehachapi 1 (CCDLP)","Brookfield Tehachapi 1 (CCDLP)","Definition:Commercial Scale Wind","Brookfield Renewable Energy Group","Coram Energy Group","Pacific Gas & Electric Co","Tehachapi CA","102 MW",34,2012,Vestas,"In Service","35.05796406°, -118.3224106°"
"Brookfield Tehachapi 2","Brookfield Tehachapi 2","Brookfield Tehachapi 2 (Alta VIII)","Definition:Commercial Scale Wind","Brookfield Renewable Energy Group","Terra-Gen Power LLC","Southern California Edison Co","Tehachapi Pass CA","150 MW",50,2012,Vestas,"In Service","35.01917213°, -118.3031845°"
"Brown County Wind","Brown County Wind","Brown County Wind","Definition:Commercial Scale Wind","Adams Electric Cooperative","Adams Electric Cooperative","Adams Electric Cooperative","Mt. Sterling IL","1.5 MW",1,2011,VENSYS,"In Service","39.97340387°, -90.69939137°"
"Buena Vista Wind Farm Repower","Buena Vista Wind Farm Repower","Buena Vista","Definition:Commercial Scale Wind","Babcock & Brown","Babcock & Brown","Pacific Gas & Electric Co","Altamont Pass CA","38 MW",38,2006,Mitsubishi,"In Service","37.7347°, -121.652°"
"Buffalo Bear Wind Farm","Buffalo Bear Wind Farm","Buffalo Bear","Definition:Commercial Scale Wind","Edison Mission Group","Edison Mission Group","Western Farmers Electric Coop",OK,"18.9 MW",9,2008,"Suzlon Energy Company","In Service","36.573681°, -99.573275°"
"Buffalo Gap 3 Wind Farm","Buffalo Gap 3 Wind Farm","Buffalo Gap 3","Definition:Commercial Scale Wind","AES Wind Generation","AES Wind Generation","Direct Energy",TX,"170.2 MW",74,2008,Siemens,"In Service","32.310556°, -100.149167°"
"Buffalo Gap II Wind Farm","Buffalo Gap II Wind Farm","Buffalo Gap II","Definition:Commercial Scale Wind",,"AES Corp.","Direct Energy","Taylor County TX","232.5 MW",155,2007,"GE Energy","In Service","32.310556°, -100.149167°"
"Buffalo Gap Wind Farm","Buffalo Gap Wind Farm","Buffalo Gap","Definition:Commercial Scale Wind",AES,AES,"Direct Energy",TX,"120.6 MW",67,2005,Vestas,"In Service","32.310556°, -100.149167°"
"Buffalo Mountain Wind Energy Center I","Buffalo Mountain Wind Energy Center I","Buffalo Mountain Wind Energy Center","Definition:Commercial Scale Wind","Tennessee Valley Authority",EnXco,"Tennessee Valley Authority","Anderson County TN","1.98 MW",3,2000,Vestas,"In Service","36.115822°, -84.333742°"
"Buffalo Mountain Wind Energy Center II","Buffalo Mountain Wind Energy Center II","Buffalo Mountain Wind Energy Center","Definition:Commercial Scale Wind",Invenergy,Invenergy,"Tennessee Valley Authority","Anderson County TN","27 MW",15,2004,Vestas,"In Service","36.115822°, -84.333742°"
"Buffalo Ridge II Wind Power Project","Buffalo Ridge II Wind Power Project","Buffalo Ridge II Wind Power Project","Definition:Commercial Scale Wind","Iberdrola Renewables","Iberdrola Renewables",,"Brookings and Deuel counties SD","210 MW",105,2010,Gamesa,"In Service","44.55761°, -96.742888°"
"Buffalo Ridge Wind Farm","Buffalo Ridge Wind Farm","Buffalo Ridge","Definition:Commercial Scale Wind","Iberdrola Renewables","Kenetech Windpower","Xcel Energy","Buffalo Ridge MN","25.99 MW",73,1994,Kenetech,"In Service","44.0039°, -96.0526°"
"Buffalo Ridge Wind Farm I","Buffalo Ridge Wind Farm I","Buffalo Ridge Wind Farm I","Definition:Commercial Scale Wind","Iberdrola Renewables","Iberdrola Renewables",NIPSCO,"Brookings County SD","50.4 MW",24,2009,"Suzlon Energy Company","In Service","44.422784°, -96.834898°"
"Bull Creek Wind Farm","Bull Creek Wind Farm","Bull Creek Wind Farm","Definition:Commercial Scale Wind",Eurus,Eurus,Market,"Near Gail TX","180 MW",180,2008,Mitsubishi,"In Service","32.933099°, -101.584425°"
"Bull Hill","Bull Hill","Bull Hill","Definition:Commercial Scale Wind","First Wind","First Wind",NSTAR,"Hancock County ME","34.2 MW",19,2012,Vestas,"In Service","44.723076°, -68.170852°"
Bulldog,Bulldog,Bulldog,"Definition:Community Wind","Bulldog LLC",,"Farmers' Cooperative of Greenfield","Greenfield IA","1.5 MW",1,2010,"GE Energy","In Service","41.22708706°, -94.43487167°"
"Burco Farm and Feed","Burco Farm and Feed","Burco Farm and Feed","Definition:Small Scale Wind","Burco Farm and Feed",,"Burco Farm and Feed","Independence IA","0.1 MW",1,2010,"Northern Power Systems","In Service","42.5638438°, -91.88753486°"
"Bureau Valley School District Wind Farm","Bureau Valley School District Wind Farm","Bureau Valley School District","Definition:Community Wind","Bureau Valley School District","Engineers Architects Professional Corp.","Bureau Valley School District","Bureau Valley IL","0.66 MW",1,2004,Vestas,"In Service","41.4661°, -89.678°"
"Burley Butte","Burley Butte","Burley Butte","Definition:Commercial Scale Wind",Exergy,Exergy,"Idaho Power","Cassia County ID","19.5 MW",13,2011,"GE Energy","In Service","42.4644°, -113.895°"
"Burlington High School Wind Project","Burlington High School Wind Project","Burlington High School","Definition:Community Wind",,,,CO,,1,,SkyStream,,"39.3088°, -102.282715°"
"Busch Ranch","Busch Ranch","Busch Ranch","Definition:Commercial Scale Wind","Black Hills Colorado Electric (50%) - Altagas (50%)","EUI and Black Hills Colorado Electric","Black Hills Energy","Pueblo CO","28.8 MW",16,2012,Vestas,"In Service","37.781886°, -104.471858°"
"Butler Ridge Wind Farm","Butler Ridge Wind Farm","Butler Ridge Wind Farm","Definition:Commercial Scale Wind","Babcock & Brown","Midwest Wind Energy/Eurus",WPPI,"Dodge County WI","54 MW",36,2009,"GE Energy","In Service","43.388524°, -88.467332°"
"Byers Auto","Byers Auto","Byers Auto","Definition:Small Scale Wind","Byers Auto",,"Byers Auto","Columbus OH","0.1 MW",1,2010,"Northern Power Systems","In Service","40.11068966°, -83.08229864°"
"CAES Wind Project","CAES Wind Project",CAES,"Definition:Community Wind",,,,ID,,1,,SkyStream,,"43.522243°, -112.053963°"
CCRTA,CCRTA,CCRTA,"Definition:Small Scale Wind",CCRTA,,CCRTA,"Dennis MA","0.1 MW",1,2010,"Northern Power Systems","In Service","41.6900954°, -70.14441133°"
"CWES I Wind Farm","CWES I Wind Farm","CWES I","Definition:Commercial Scale Wind",SeaWest,SeaWest,"Pacific Gas & Electric Co","Altamont Pass CA","1.08 MW",18,,Enertech,"In Service","37.7347°, -121.652°"
"CWES II Wind Farm","CWES II Wind Farm","CWES II","Definition:Commercial Scale Wind",SeaWest,SeaWest,"Pacific Gas & Electric Co","Altamont Pass CA","0.24 MW",6,,Enertech,"In Service","37.7347°, -121.652°"
"Cabazon Wind Farm I","Cabazon Wind Farm I",Cabazon,"Definition:Commercial Scale Wind","NextEra Energy Resources","GE Energy","Southern California Edison Co","San Gorgonio CA","39.75 MW",53,1999,Zond,"In Service","33.9095°, -116.734°"
"Cabazon Wind Farm II","Cabazon Wind Farm II",Cabazon,"Definition:Commercial Scale Wind","Goldman Sachs/Shell","Canon Power Corp.","L.A. Department of Water Resources","San Gorgonio CA","40.92 MW",62,2002,Vestas,"In Service","33.9095°, -116.734°"
"California Ridge","California Ridge","California Ridge","Definition:Commercial Scale Wind",Ivenergy,Ivenergy,"Tennessee Valley Authority","Fithian IL","214.4 MW",134,2012,"GE Energy","In Service","40.19729811°, -87.82702446°"
"Callahan Divide Wind Energy Center","Callahan Divide Wind Energy Center","Callahan Divide Wind Energy Center","Definition:Commercial Scale Wind","NextEra Energy Resources","NextEra Energy Resources","Austin Energy","Taylor County TX","114 MW",76,2005,"GE Energy","In Service","32.310556°, -100.149167°"
"Calverton Wind Farm","Calverton Wind Farm",Calverton,"Definition:Small Scale Wind","Long Island Power Authority","Long Island Power Authority","Long Island Power Authority","Calverton NY","0.05 MW",1,2002,"Atlantic Orient Co.","In Service","40.927997°, -72.7749°"
"Calwind II CEC Wind Farm","Calwind II CEC Wind Farm","Calwind II CEC","Definition:Commercial Scale Wind",,"CalWind Resources","Southern California Edison Co","Tehachapi CA","8.58 MW",13,2003,Vestas,"In Service","35.07665°, -118.25529°"
"Calwind Resources Wind Farm","Calwind Resources Wind Farm","Calwind Resources","Definition:Commercial Scale Wind",,"CalWind Resources","Southern California Edison Co","Tehachapi CA","14.11 MW",217,,Bonus,"In Service","35.07665°, -118.25529°"
Camelot,Camelot,Camelot,"Definition:Commercial Scale Wind","Camelot Wind LLC","Atlantic Design",Net-metered,"Plymouth MA","1.5 MW",1,2012,Goldwind,"In Service","41.925433°, -70.644414°"
"Cameron Ridge Wind Farm","Cameron Ridge Wind Farm","Cameron Ridge","Definition:Commercial Scale Wind",Caithness,"NextEra Energy Resources/M&N Wind Power/RES Americas","Southern California Edison Co","Tehachapi CA","56 MW",80,1999,"NEG Micon","In Service","35.07665°, -118.25529°"
"Camp Grove Wind Farm","Camp Grove Wind Farm","Camp Grove Wind Farm","Definition:Commercial Scale Wind","OEG (Orion Energy Group)","OEG (Orion Energy Group)","AEP-Appalachian Power","Marshall & Stark Counties IL","150 MW",100,2007,"GE Energy","In Service","41.088871°, -89.656684°"
"Camp Reed","Camp Reed","Camp Reed","Definition:Commercial Scale Wind",Exergy,Exergy,"Idaho Power","Elmore County ID","22.5 MW",15,2011,"GE Energy","In Service","42.443817°, -114.320844°"
"Camp Springs II (1Q08) Wind Farm","Camp Springs II (1Q08) Wind Farm","Camp Springs II (1Q08)","Definition:Commercial Scale Wind",Invenergy,Invenergy,,TX,"88.5 MW",59,2008,"GE Energy","In Service","32.749117°, -100.731082°"
"Camp Springs II (4Q07) Wind Farm","Camp Springs II (4Q07) Wind Farm","Camp Springs II (4Q07)","Definition:Commercial Scale Wind",Invenergy,Invenergy,,TX,"31.5 MW",21,2007,"GE Energy","In Service","32.730924°, -100.735803°"
"Camp Springs Wind Farm","Camp Springs Wind Farm","Camp Springs","Definition:Commercial Scale Wind",Invenergy,Invenergy,,TX,"130.5 MW",87,2007,"GE Energy","In Service","32.739516°, -100.741382°"
"Camp William Utah National Guard Wind Farm I","Camp William Utah National Guard Wind Farm I","Camp William Utah National Guard","Definition:Community Wind","Camp William Utah National Guard",,"Camp William Utah National Guard","Riverton UT","0.23 MW",1,2000,"NEG Micon","In Service","40.439852°, -111.919141°"
"Camp William Utah National Guard Wind Farm II","Camp William Utah National Guard Wind Farm II","Camp William Utah National Guard","Definition:Community Wind","Camp William Utah National Guard",,"Camp William Utah National Guard","Riverton UT","0.66 MW",1,2005,Vestas,"In Service","40.439852°, -111.919141°"
"Campbell Hill Wind Farm","Campbell Hill Wind Farm","Campbell Hill","Definition:Commercial Scale Wind","Duke Energy Carolinas LLC","Duke Energy Carolinas LLC",PacifiCorp,"Northeast of Casper WY","99 MW",66,2009,"GE Energy","In Service","42.998955°, -106.021366°"
"Canadian Hills (Mitsubishi)","Canadian Hills (Mitsubishi)","Canadian Hills (Mitsubishi)","Definition:Commercial Scale Wind","Atlantic Power Corp","Apex Wind Energy","Oklahoma Municipal Power Authority / SWEPCO","Calumet OK","148.8 MW",62,2012,Mitsubishi,"In Service","35.69756036°, -98.20438385°"
"Canadian Hills (Repower)","Canadian Hills (Repower)","Canadian Hills (Repower)","Definition:Commercial Scale Wind","Atlantic Power Corp","Apex Wind Energy","Oklahoma Municipal Power Authority / SWEPCO","Calumet OK","149.65 MW",73,2012,REpower,"In Service","35.66212553°, -98.12820911°"
"Caney River","Caney River","Caney River","Definition:Commercial Scale Wind","Enel Green Power North America Inc.","Tradewind Energy LLC","Tennessee Valley Authority","Elk County KS","199.8 MW",111,2012,Vestas,"In Service","37.448424°, -96.425027°"
"Cannon (Various)","Cannon (Various)","Cannon (Various)","Definition:Commercial Scale Wind",,NA,"Southern California Edison Co","Tehachapi CA","4.54 MW",42,,"Micon Vestas","In Service","35.1317°, -118.451°"
"Cannon I Wind Farm","Cannon I Wind Farm","Cannon I","Definition:Commercial Scale Wind",,NA,"Southern California Edison Co","Tehachapi CA","0.86 MW",8,,Micon,"In Service","35.1317°, -118.451°"
"Cannon II Wind Farm","Cannon II Wind Farm","Cannon II","Definition:Commercial Scale Wind",,,"Southern California Edison Co","Tehachapi CA","12.6 MW",28,,Vestas,"In Service","35.1317°, -118.451°"
"Canova Wind Farm","Canova Wind Farm",Canova,"Definition:Community Wind","City of Howard","City of Howard","City of Howard","Near Carthage SD","0.11 MW",1,2002,Micon,"In Service","44.169°, -97.7158°"
"Cape Cod Regional Transit Authority","Cape Cod Regional Transit Authority","Cape Cod Regional Transit Authority","Definition:Small Scale Wind","Sustainable Energy Development",,"Cape Cod Regional Transit Authority","Hyannis MA","0.1 MW",1,2010,"Northern Power Systems","In Service","41.69005134°, -70.14437914°"
"Cape Wind Project","Cape Wind Project","Cape Wind","Offshore wind","Cape Wind","Cape Wind Associates","National Grid","Nantucket Sound, MA","468 MW",130,,Siemens,Proposed,"41.501805°, -70.318333°"
"Capricorn Ridge (GE Energy) Wind Farm","Capricorn Ridge (GE Energy) Wind Farm","Capricorn Ridge (GE Energy)","Definition:Commercial Scale Wind","NextEra Energy Resources","NextEra Energy Resources",,TX,"214.5 MW",143,2007,"GE Energy","In Service","31.838061°, -100.923965°"
"Capricorn Ridge (Siemens) Wind Farm","Capricorn Ridge (Siemens) Wind Farm","Capricorn Ridge (Siemens)","Definition:Commercial Scale Wind","NextEra Energy Resources","NextEra Energy Resources",,TX,"149.5 MW",65,2007,Siemens,"In Service","31.844192°, -100.932612°"
"Capricorn Ridge Expansion (1Q08) Wind Farm","Capricorn Ridge Expansion (1Q08) Wind Farm","Capricorn Ridge Expansion (1Q08)","Definition:Commercial Scale Wind","NextEra Energy Resources","NextEra Energy Resources",,TX,"142.5 MW",95,2008,"GE Energy","In Service","31.838061°, -100.923965°"
"Capricorn Ridge Expansion (2Q08) Wind Farm","Capricorn Ridge Expansion (2Q08) Wind Farm","Capricorn Ridge Expansion (2Q08)","Definition:Commercial Scale Wind","NextEra Energy Resources","NextEra Energy Resources",,TX,"156 MW",104,2008,"GE Energy","In Service","31.838061°, -100.923965°"
"Caprock Wind Ranch","Caprock Wind Ranch","Caprock Wind Ranch","Definition:Commercial Scale Wind","Babcock & Brown","Cielo Wind Power","Xcel Energy","Quay County NM","60 MW",60,2004,Mitsubishi,"In Service","35.043532°, -103.583422°"
"Caprock Wind Ranch phase II","Caprock Wind Ranch phase II","Caprock Wind Ranch phase II","Definition:Commercial Scale Wind","Babcock & Brown","Cielo Wind Power","Xcel Energy","Quay County NM","20 MW",20,2005,Mitsubishi,"In Service","35.043532°, -103.583422°"
